,name,item_id,category_id,discount,rating_score,original_price,price,item_sold_count,temp_category_index
0,180ml Kuelox Fixative Spray For Sketch/Gouache Spray,2206122392,"[22393, 22430, 22744]",24% Off,4.879432624113475,139,105.04,721 sold,305
1,"Crayola Crayons Set of 8, 16 or 24 colors",2716668362,"[22393, 22430, 22744]",63% Off,4.946356951871658,39,14.47,"9,999+ sold",305
2,24 Colors Alcohol Marker Art Marker Highlighter Pen Set Color Calligraphy Pen Set Marker Pen,3617947502,"[22393, 22430, 22744]",55% Off,5.0,200,89.63,94 sold,305
3,Professional sketchbook Thick paper 160 notebook Art school supplies Pencil drawing notepad A4/A5/8K,3709686910,"[22393, 22430, 22744]",76% Off,4.928571428571429,199,48,402 sold,305
4,"Crayola Crayons Set of 8, 16 or 24 colors",2716702418,"[22393, 22430, 22744]",62% Off,4.949335889360537,39,14.77,100k+ sold,305
5,Blending Stump Set 6 pcs 6PCS/set Sketch 6 Sizes Art Drawing Tool Pastel Blending Smudge Tortillon Stump,2046726165,"[22393, 22430, 22744]",,4.930555555555555,,28,689 sold,305
6,FancyArtsy Artist Brush Set Painting Brushes Premium Quality Color Brush,3363396060,"[22393, 22430, 22744]",1% Off,0,120,118.92,,305
7,"ACP Panel 12"" x 16"" (Random Color)",2639434793,"[22393, 22430, 22744]",,0,,168,,305
8,Erasing Shield - Stainless,1201306241,"[22393, 22430, 22744]",,4.92,,38,846 sold,305
9,JLT  Hokka. 24 Color Crayons,3328510699,"[22393, 22430, 22744]",59% Off,5.0,80,33,11 sold,305
10,"DURER TRACING PAPER - 20""x30"" (with tube)",2385356001,"[22393, 22430, 22744]",3% Off,4.946153846153846,210,203,723 sold,305
11,Drawing Tube Blueprint Case Telescoping Art Tube Large Plastic Black Storage Tube Expandable Plastic Waterproof and Light Resistant Poster Tube with Strap,340254517,"[22393, 22430, 22744]",,4.825396825396825,,215,"1,218 sold",305
12,Drawing book big sketch book 18sheets sold per pad,4008004358,"[22393, 22430, 22744]",49% Off,5.0,35,18,311 sold,305
13,Drawing Tube Blueprint Case Telescoping Art Tube Large Plastic Black Storage Tube Expandable Plastic Waterproof and Light Resistant Poster Tube with Strap,340838244,"[22393, 22430, 22744]",,4.911764705882353,,215,722 sold,305
14,Engineer Expandable Plastic Tube Case High Quality Durable plastic,257931021,"[22393, 22430, 22744]",,4.826086956521739,,390,192 sold,305
15,36 Pcs Playskool Washable Crayon Non-toxic Bright Colors Premium Quality,1766144831,"[22393, 22430, 22744]",32% Off,4.95,49,33.25,291 sold,305
16,Drawing Tube Blueprint Case Telescoping Art Tube Plastic Storage Tube Expandable Plastic Waterproof and Light Resistant Poster Tube with Strap,1820969084,"[22393, 22430, 22744]",,5.0,,209,31 sold,305
17,Drawing Tube Engineer Expandable Plastic Tube Case High Quality Durable plastic 60cm-105cm,1210362764,"[22393, 22430, 22744]",,4.722222222222222,,295,158 sold,305
18,57cm to 90cm Length expanded Drawing Tube Expandable Telescopic Storage Case for Blueprint arts paint,3899704859,"[22393, 22430, 22744]",,0,,345,,305
19,Babelovey 12/24/36 Colors Crayons Painting Safe Non-Toxic Not Dirty Hand Drawing Art Supplier Coloring Set,3720267230,"[22393, 22430, 22744]",52% Off,4.938215102974828,100,48,"1,653 sold",305
20,12/24/36 Colors Crayons Painting Safe Non-Toxic Not Dirty Hand Drawing Art Supplier Coloring Set Triangle Plastic Crayon Children's Oil Painting Stick Not Dirty Hands Safe Washable Painting Brush Baby Graffiti Brush Chunky crayons,4113906317,"[22393, 22430, 22744]",30% Off,5.0,80,55.97,83 sold,305
