,search_query,product_name,validation
0,Professional Cordless Drill Set with Accessories,DeWALT 88V cordless impact wrench with accessories kit set screwdriver drill cordless impact driver,1.0
1,Professional Cordless Drill Set with Accessories,NewSun DeWALT Cordless Drill Driver 28V 2-Speed with 2 Li-ion Batteries and Free Accessories Kit Set,1.0
2,Professional Cordless Drill Set with Accessories,2in1 Set Electric Impact Drill And Angle Grinder With Complete Accessories,1.0
3,Professional Cordless Drill Set with Accessories,【Professional Grinder Set  Drill】Mitsushi  2 in 1 Electric Drill and Angle Grinder with Accessories Set Original Angle Grinder and Impact Wrench Cordless Heavy Duty Set Professional Power Tools,1.0
4,Professional Cordless Drill Set with Accessories,Cordless Impact Wrench With 1 Li-ion Batteries And Accessories Kit Set,0.0
5,Professional Cordless Drill Set with Accessories,【COD】 Original Germany 2 in 1 Angle Grinder + Impact Drill Power Tool Set Professional Industrial Impact Drill and Grinder set With Accessories and Drivers,1.0
6,Professional Cordless Drill Set with Accessories,2 in 1 Grinder With Drill Set,1.0
7,Professional Cordless Drill Set with Accessories,2PC  Grinder With Drill Set Red Tool,1.0
8,Professional Cordless Drill Set with Accessories,MAKlTA Cordless Electric Drill Cordless Hand Drill Driver Two-speed Impact Hammer 149v 2 Battery Rechargeable Cordless Drill Set Original Heavy Duty Power Tools Impact Drivers Set Kit  Electric Screwdriver Drills & Drivers,1.0
9,Professional Cordless Drill Set with Accessories,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1.0
10,Professional Cordless Drill Set with Accessories,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1.0
11,Professional Cordless Drill Set with Accessories,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1.0
12,Professional Cordless Drill Set with Accessories,Professional Astronomical Telescope Stargazing Mirror Set Star With,0.0
13,Professional Cordless Drill Set with Accessories,VILLACURTAIN - GRINDER WITH DRILL 2PCS  ELECTRIC SET,1.0
14,Professional Cordless Drill Set with Accessories,SECURITY GUARD SET NECKTIE WITH CLIP AND ACCESSORIES,0.0
15,Professional Cordless Drill Set with Accessories,【Fast Shipping】 Woodworking Drill Locator Built-in 1/4In Hexagonal Machine with Accessories Drill Tools Auto-line Drill Guide Bench Drill Press Drill-Locator,1.0
16,Professional Cordless Drill Set with Accessories,【588VF/Free Full Set of Accessories】 880N.M Impact Wrench Cordless Set   Large Torque Electric Impact Wrench Drill Electric Screwdriver with 1/2 Batteries and Charger Complete Accessories,1.0
17,Professional Cordless Drill Set with Accessories,Nan wei Brushless cordless  electric with hammer impact drill Portable chargeable heavy-duty concrete tools set,1.0
18,Professional Cordless Drill Set with Accessories,(VARIATION) Electric Rivet Nut Riveting Tool Cordless Riveting Drill Adaptor Insert Nut Tool  / 48VF Cordless Drill Electric Screwdriver Drill Set Mini Wireless Power Driver 25 Torque with 2 Lithium-Ion Battery,1.0
19,Professional Cordless Drill Set with Accessories,Grinder and Drill Set 980W Angle Grinder 1000W impact drill 2 in 1 Power Tool Set with boxes,1.0
20,Professional Cordless Drill Set with Accessories,Accessories,0.0
21,Professional Cordless Drill Set with Accessories,Ultra-large Capacity Battery Cordless Impact Drill Electric Screwdriver Power Drill 34pcs Accessories 2-Speed 1288vf,1.0
22,Professional Cordless Drill Set with Accessories,LABADA SET WITH BASIN,0.0
23,Professional Cordless Drill Set with Accessories,4in1 Bedding Set with Comforter Bedsheet Set,0.0
24,Professional Cordless Drill Set with Accessories,MOLD PAINTING SET (UNICORN SET WITH FREEBIES),0.0
25,Professional Cordless Drill Set with Accessories,"Ace BT8-2 8"" Professional Sub-woofer Speaker set with Amplifier",0.0
