,search_query,product_name,validation
0,High-Performance Running Shoes with Cushioning,【Professional Grinder Set  Drill】Mitsushi  2 in 1 Electric Drill and Angle Grinder with Accessories Set Original Angle Grinder and Impact Wrench Cordless Heavy Duty Set Professional Power Tools,1
1,High-Performance Running Shoes with Cushioning,"MANSOON cordless rotary hammer drill brushless motor 26mm impact drill cordless rotary battery drill, concrete drill",1
2,High-Performance Running Shoes with Cushioning,DeWALT 88V cordless impact wrench with accessories kit set screwdriver drill cordless impact driver,1
3,High-Performance Running Shoes with Cushioning,MAKlTA Cordless Electric Drill Cordless Hand Drill Driver Two-speed Impact Hammer 149v 2 Battery Rechargeable Cordless Drill Set Original Heavy Duty Power Tools Impact Drivers Set Kit  Electric Screwdriver Drills & Drivers,1
4,High-Performance Running Shoes with Cushioning,2 in 1 Grinder With Drill Set,1
5,High-Performance Running Shoes with Cushioning,Cordless Hammer Brushless Electric Hammer Portable Chargeable Rotary Hammer Drill Cordless Impact Drill Heavy Duty Brushless Rotary Hammer Drill Multifunctional Impact Drill Electric Hammer Drill For Home Professional Concrete Industry Chisel Set Tools,1
6,High-Performance Running Shoes with Cushioning,【COD】 Original Germany 2 in 1 Angle Grinder + Impact Drill Power Tool Set Professional Industrial Impact Drill and Grinder set With Accessories and Drivers,1
7,High-Performance Running Shoes with Cushioning,【Fast Shipping】 Woodworking Drill Locator Built-in 1/4In Hexagonal Machine with Accessories Drill Tools Auto-line Drill Guide Bench Drill Press Drill-Locator,1
8,High-Performance Running Shoes with Cushioning,Ultra-large Capacity Battery Cordless Impact Drill Electric Screwdriver Power Drill 34pcs Accessories 2-Speed 1288vf,1
9,High-Performance Running Shoes with Cushioning,Cordless Impact Wrench Heavy Duty Japan Electtic Drill Set Japan Made Impact Wrench Drill Cordless Rechargeable  Power Tools Set Original Brushless For Motorcycle And For Car,1
10,High-Performance Running Shoes with Cushioning,21V Charger For Cordless Drill Cordless Electric Drill Lithium Battery Charger Lithium-ion Charger ♀,0
11,High-Performance Running Shoes with Cushioning,1pc Drill Dust Collector Power Tool Accessories Impact Drill Ash Bowl Must Have Accessories Drill Parts Dustproof Device,0
12,High-Performance Running Shoes with Cushioning,MAKITA 4 IN 1 98V CORDLESS SET WITH IMPACT WRENCH/IMPACT DRILL/HAMMER DRILL/ANGLE GRINDER 609,1
13,High-Performance Running Shoes with Cushioning,【11.11 PROMOTION】458V Professional Brushless Heavy Duty Rotary Hammer Drill Cordless Impact Drill 4 Function Demolition Kit,1
14,High-Performance Running Shoes with Cushioning,45 Pcs Set Compact No Noise Cordless Rechargeable Drill Screwdriver,1
15,High-Performance Running Shoes with Cushioning,(VARIATION) Electric Rivet Nut Riveting Tool Cordless Riveting Drill Adaptor Insert Nut Tool  / 48VF Cordless Drill Electric Screwdriver Drill Set Mini Wireless Power Driver 25 Torque with 2 Lithium-Ion Battery,1
16,High-Performance Running Shoes with Cushioning,2in1 Set Electric Impact Drill And Angle Grinder With Complete Accessories,1
17,High-Performance Running Shoes with Cushioning,380NM Cordless Impact Wrench 12V Cordless Drill 208VF 20V Rechargeable Lithium Battery Impact Drill Household Power tool Home Auto Repair Motorcycle,1
18,High-Performance Running Shoes with Cushioning,ECO Industrial Cutting Machine Circular Saw Power Tools Metal Wood & Speed Electric Drill Multifunctional Rechargeable Cordless Drill,1
19,High-Performance Running Shoes with Cushioning,NewSun DeWALT Cordless Drill Driver 28V 2-Speed with 2 Li-ion Batteries and Free Accessories Kit Set,1
20,High-Performance Running Shoes with Cushioning,Accessories,0
21,High-Performance Running Shoes with Cushioning,【588VF/Free Full Set of Accessories】 880N.M Impact Wrench Cordless Set   Large Torque Electric Impact Wrench Drill Electric Screwdriver with 1/2 Batteries and Charger Complete Accessories,1
22,High-Performance Running Shoes with Cushioning,TRENDY WALLET or 2 in 1 Grinder and Drill Set With Hard Case - FREE DISC and DRILL BITS (Complete Set),1
23,High-Performance Running Shoes with Cushioning,5 PCS SET DRILL BIT IRON WIRE  BRUSH DRILL BOWL PLATE,0
24,High-Performance Running Shoes with Cushioning,Rotary Hammer Drill Chipping Gun Hammer Drill Heavy Duty 2200W Demolition Hammers Concrete Breaker Drill With 6 Drill Bit,1
25,High-Performance Running Shoes with Cushioning,Cordless Impact Wrench With 1 Li-ion Batteries And Accessories Kit Set,0
26,High-Performance Running Shoes with Cushioning,Makita Cordless rotary hammer Drill Impact Drill Heavy Duty Electric Brushless Hammer With Chisel Set Tools 18V Lithium Electric Brushless Hammer Drill Pick Three Purpose Multifunctional Concrete,1
27,High-Performance Running Shoes with Cushioning,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1
28,High-Performance Running Shoes with Cushioning,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1
29,High-Performance Running Shoes with Cushioning,TUOYE Tools Cordless Rechargeable Handy Drill Screwdriver 45 pcs. Set with Bits Holder,1
30,High-Performance Running Shoes with Cushioning,Powerful 2 in 1 Angle Grinder and Drill Set with Hard Case (FREE Disc and Drill Bits),1
